id,tenure,friends,groups,likes,shares
2094382,266,0,0,0,0
1192601,6,0,0,0,0
2083884,13,0,0,0,0
1203168,93,0,0,0,0
1733186,82,0,0,0,0
1524765,15,0,0,0,0
1136133,12,0,0,0,0
1680361,0,0,0,0,0
1365174,81,0,0,0,0
1712567,171,0,0,0,0
1612453,98,0,0,0,0
2104073,55,0,0,0,0
1918584,106,0,0,0,0
1704433,61,0,0,0,0
1932519,0,0,0,0,0
1751722,16,0,0,0,0
1470850,34,0,0,0,0
1001768,25,0,0,0,0
1537661,4,0,0,0,0
1020296,9,0,0,0,0
1472643,9,0,0,0,0
2041297,10,0,0,0,0
1514978,0,0,0,0,0
1708962,98,0,0,0,0
1098955,100,0,0,0,0
1001243,28,0,0,0,0
2113084,52,0,0,0,0
2163454,0,0,0,0,0
1670750,24,0,0,0,0
1041376,41,0,0,0,0
1762274,17,0,0,0,0
1903650,165,0,0,0,0
2087235,15,0,0,0,0
1871735,578,0,0,0,0
1459785,478,0,0,0,0
1215208,170,0,0,0,0
1255528,266,0,0,0,0
1390333,227,0,0,0,0
1570689,13,0,0,0,0
1197377,111,0,0,0,1
1472999,201,0,0,0,0
1549614,271,0,0,0,0
2056802,145,0,0,0,0
2091823,23,0,0,0,0
1302193,21,0,0,0,0
1784528,0,0,0,0,0
1842851,258,0,0,0,0
1002019,250,0,0,0,0
2188166,22,0,0,0,0
1443541,30,0,0,0,0
1927282,242,0,0,0,0
1929885,11,0,0,0,0
2188851,0,0,0,0,0
1562606,67,0,0,0,0
1599485,0,0,0,0,0
2157419,93,0,0,0,0
1264260,18,0,0,0,0
1123633,12,0,0,0,0
2045259,6,0,0,0,0
1712642,178,0,0,0,0
1304645,24,0,0,0,0
1287843,14,0,0,0,0
1094094,214,0,0,0,0
1201176,84,0,0,0,0
1717785,27,0,0,0,0
1764393,7,0,0,0,0
1483573,4,0,0,0,0
2163813,20,0,0,0,0
1435172,256,0,0,0,0
1732320,34,0,0,0,0
1866176,22,0,0,0,0
1402504,30,0,0,0,0
1469691,17,0,0,0,0
1820036,340,0,0,0,0
1922550,338,0,0,0,0
1450870,279,0,0,0,0
2044883,179,0,0,0,0
2055501,25,0,0,0,0
1574525,10,0,0,0,0
1460963,6,0,0,0,0
1648391,503,0,0,0,0
2162779,316,0,0,0,0
1105499,90,0,0,0,0
1654852,221,0,0,0,0
1665635,3,0,0,0,0
2113685,282,0,0,0,0
1772186,193,0,0,0,0
1962161,45,0,0,0,0
1605442,24,0,0,0,0
2166096,9,0,0,0,0
1777296,547,0,0,0,0
1232281,23,0,0,0,0
1328833,7,0,0,0,0
1288621,3,0,0,0,0
1129704,347,0,0,0,0
1126847,89,0,0,0,0
1056469,56,0,0,0,0
2190921,21,0,0,0,0
1496299,63,0,0,0,0
1297545,27,0,0,0,0
1314465,14,0,0,0,0
1832374,73,0,0,0,0
2164634,20,0,0,0,0
1012962,4,0,0,0,0
1294086,661,0,0,0,0
1160530,242,0,0,0,0
1859444,223,0,0,0,0
1757068,22,0,0,0,0
1998492,11,0,0,0,0
1536686,37,0,0,0,0
2070224,18,0,0,0,0
1608131,27,0,0,0,0
1483131,21,0,0,0,0
1677748,26,0,0,0,0
1703844,12,0,0,0,0
1695626,764,0,0,0,0
1054620,22,0,0,0,0
1885663,332,0,0,0,0
1174983,290,0,0,0,0
1300831,29,0,0,0,0
1106680,71,0,0,0,0
1712570,0,0,0,0,0
1505398,108,0,0,0,0
2071007,29,0,0,0,0
1387870,264,0,0,0,0
1997182,363,0,0,0,0
1409046,152,0,0,0,0
1020864,312,0,0,0,0
1662734,66,0,0,0,0
1917166,31,0,0,0,0
1689737,21,0,0,0,0
1011372,374,0,0,0,0
2191252,223,0,0,0,0
2064115,2,0,0,0,0
1449467,163,0,0,0,0
1505097,142,0,0,0,0
1306187,9,0,0,0,0
1430230,147,0,0,0,0
2126242,52,0,0,0,0
1096123,5,0,0,0,0
1733413,589,0,0,0,0
2153790,465,0,0,0,0
1639871,390,0,0,0,0
1542192,150,0,0,0,0
1664129,192,0,0,0,0
1972405,53,0,0,0,0
1063625,5,0,0,0,0
1637546,245,0,0,0,0
1941254,145,0,0,0,0
1683116,498,0,0,0,0
1930035,81,0,0,0,0
2183422,24,0,0,0,0
1935024,3,0,0,0,0
1590837,587,0,0,0,0
1124403,577,0,0,0,0
1364002,80,0,0,0,0
2113653,15,0,0,0,0
1331161,715,0,0,0,0
1806987,64,0,0,0,0
2038590,235,0,0,0,0
2167676,201,0,0,0,0
2115759,25,0,0,0,0
1392458,19,0,0,0,0
2130453,0,0,0,0,0
1787586,0,0,0,0,0
1857274,531,0,0,0,0
1217755,465,0,0,0,0
1236697,2,0,0,0,0
1305639,146,0,0,0,0
1169785,81,0,0,0,0
1338620,13,0,0,0,0
1283356,410,0,0,0,0
1189040,364,0,0,0,0
2126886,331,0,0,0,0
1418034,14,0,0,0,0
2011449,12,0,0,0,0
1765562,0,0,0,0,0
1132306,36,0,0,0,0
1829874,175,0,0,0,0
1992636,379,0,0,0,0
1745834,172,0,0,0,0
2014775,14,0,0,0,0
1258751,671,0,0,0,0
1433135,545,0,0,0,0
1608002,388,0,0,0,0
1406080,112,0,0,0,0
1436760,166,0,0,0,0
1371735,14,0,0,0,0
1134075,14,0,0,0,0
1805783,14,0,0,0,0
1863042,29,0,0,0,0
1144392,374,0,0,0,0
1397700,51,0,0,0,0
1195181,7,0,0,0,0
1195657,152,0,0,0,0
1837868,116,0,0,0,0
1499423,33,0,0,0,0
1926687,20,0,0,0,0
1684975,39,0,0,0,0
1427988,1,0,0,0,0
1466108,304,0,0,0,0
1865261,243,0,0,0,0
1997609,223,0,0,0,0
1809067,18,0,0,0,0
1771745,10,0,0,0,0
1419434,184,0,0,0,0
1217995,23,0,0,0,0
1797921,13,0,0,0,0
1926902,5,0,0,0,0
1055143,13,0,0,0,0
2135230,532,0,0,0,0
2152684,288,0,0,0,0
1829876,112,0,0,0,0
2124960,13,0,0,0,0
1233567,6,0,0,0,0
1473866,0,0,0,0,0
2137248,368,0,0,0,0
1345501,6,0,0,0,2
1391733,10,0,0,0,0
1566554,213,0,0,0,0
1355491,218,0,0,0,0
1315805,119,0,0,0,0
1279723,20,0,0,0,0
1657516,23,0,0,0,0
1483400,969,0,0,0,0
1597450,185,0,0,0,0
1873685,105,0,0,0,0
1697288,27,0,0,0,0
1066015,290,0,0,0,0
2014766,244,0,0,0,0
1299611,187,0,0,0,0
1671638,38,0,0,0,0
2095653,21,0,0,0,0
2156614,7,0,0,0,0
1113350,582,0,0,0,0
1925696,380,0,0,0,3
1953166,18,0,0,0,0
1447319,14,0,0,0,0
1213224,16,0,0,0,0
1620718,1,0,0,0,0
1740994,336,0,0,0,0
1738708,612,0,0,0,0
1602191,100,0,0,0,0
1804128,15,0,0,0,1
1826582,24,0,0,0,0
1847360,26,0,0,0,0
